,Unnamed: 0,filename,number,y
2526,2526,data/train/image13222_46xxx.png,2,"[4, 6, 10, 10, 10]"
2527,2527,data/train/image25527_1534x.png,4,"[1, 5, 3, 4, 10]"
2528,2528,data/train/image4084_1466x.png,4,"[1, 4, 6, 6, 10]"
2529,2529,data/train/image13286_18xxx.png,2,"[1, 8, 10, 10, 10]"
2530,2530,data/train/image5128_96xxx.png,2,"[9, 6, 10, 10, 10]"
2531,2531,data/train/image2254_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2532,2532,data/train/image15943_39xxx.png,2,"[3, 9, 10, 10, 10]"
2533,2533,data/train/image6667_4514x.png,4,"[4, 5, 1, 4, 10]"
2534,2534,data/train/image27279_34xxx.png,2,"[3, 4, 10, 10, 10]"
2535,2535,data/train/image23075_173xx.png,3,"[1, 7, 3, 10, 10]"
2536,2536,data/train/image20140_40xxx.png,2,"[4, 0, 10, 10, 10]"
2537,2537,data/train/image15418_40xxx.png,2,"[4, 0, 10, 10, 10]"
2538,2538,data/train/image23887_159xx.png,3,"[1, 5, 9, 10, 10]"
2539,2539,data/train/image11318_163xx.png,3,"[1, 6, 3, 10, 10]"
2540,2540,data/train/image6725_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2541,2541,data/train/image21502_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2542,2542,data/train/image16644_31xxx.png,2,"[3, 1, 10, 10, 10]"
2543,2543,data/train/image2884_11xxx.png,2,"[1, 1, 10, 10, 10]"
2544,2544,data/train/image23118_44xxx.png,2,"[4, 4, 10, 10, 10]"
2545,2545,data/train/image4931_91xxx.png,2,"[9, 1, 10, 10, 10]"
2546,2546,data/train/image12913_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2547,2547,data/train/image23199_44xxx.png,2,"[4, 4, 10, 10, 10]"
2548,2548,data/train/image7008_30xxx.png,2,"[3, 0, 10, 10, 10]"
2549,2549,data/train/image27723_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2550,2550,data/train/image17348_484xx.png,3,"[4, 8, 4, 10, 10]"
2551,2551,data/train/image14654_768xx.png,3,"[7, 6, 8, 10, 10]"
2552,2552,data/train/image9116_12xxx.png,2,"[1, 2, 10, 10, 10]"
2553,2553,data/train/image24860_112xx.png,3,"[1, 1, 2, 10, 10]"
2554,2554,data/train/image354_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2555,2555,data/train/image13882_94xxx.png,2,"[9, 4, 10, 10, 10]"
2556,2556,data/train/image3046_34xxx.png,2,"[3, 4, 10, 10, 10]"
2557,2557,data/train/image22138_280xx.png,3,"[2, 8, 0, 10, 10]"
2558,2558,data/train/image16944_420xx.png,3,"[4, 2, 0, 10, 10]"
2559,2559,data/train/image16383_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2560,2560,data/train/image25640_105xx.png,3,"[1, 0, 5, 10, 10]"
2561,2561,data/train/image15632_10xxx.png,2,"[1, 0, 10, 10, 10]"
2562,2562,data/train/image23909_95xxx.png,2,"[9, 5, 10, 10, 10]"
2563,2563,data/train/image18027_8335x.png,4,"[8, 3, 3, 5, 10]"
2564,2564,data/train/image16892_2706x.png,4,"[2, 7, 0, 6, 10]"
2565,2565,data/train/image22917_9xxxx.png,1,"[9, 10, 10, 10, 10]"
2566,2566,data/train/image9620_36xxx.png,2,"[3, 6, 10, 10, 10]"
2567,2567,data/train/image7997_93xxx.png,2,"[9, 3, 10, 10, 10]"
2568,2568,data/train/image10757_8xxxx.png,1,"[8, 10, 10, 10, 10]"
2569,2569,data/train/image328_23xxx.png,2,"[2, 3, 10, 10, 10]"
2570,2570,data/train/image5425_60xxx.png,2,"[6, 0, 10, 10, 10]"
2571,2571,data/train/image28396_2412x.png,4,"[2, 4, 1, 2, 10]"
2572,2572,data/train/image21225_28xxx.png,2,"[2, 8, 10, 10, 10]"
2573,2573,data/train/image4700_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2574,2574,data/train/image24551_1010x.png,4,"[1, 0, 1, 0, 10]"
2575,2575,data/train/image22549_32xxx.png,2,"[3, 2, 10, 10, 10]"
2576,2576,data/train/image22560_257xx.png,3,"[2, 5, 7, 10, 10]"
2577,2577,data/train/image5401_83xxx.png,2,"[8, 3, 10, 10, 10]"
2578,2578,data/train/image13525_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2579,2579,data/train/image10162_26xxx.png,2,"[2, 6, 10, 10, 10]"
2580,2580,data/train/image16056_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2581,2581,data/train/image25121_579xx.png,3,"[5, 7, 9, 10, 10]"
2582,2582,data/train/image8843_30xxx.png,2,"[3, 0, 10, 10, 10]"
2583,2583,data/train/image3187_18xxx.png,2,"[1, 8, 10, 10, 10]"
2584,2584,data/train/image3546_49xxx.png,2,"[4, 9, 10, 10, 10]"
2585,2585,data/train/image11550_10xxx.png,2,"[1, 0, 10, 10, 10]"
2586,2586,data/train/image18984_19xxx.png,2,"[1, 9, 10, 10, 10]"
2587,2587,data/train/image6880_157xx.png,3,"[1, 5, 7, 10, 10]"
2588,2588,data/train/image27430_234xx.png,3,"[2, 3, 4, 10, 10]"
2589,2589,data/train/image13155_37xxx.png,2,"[3, 7, 10, 10, 10]"
2590,2590,data/train/image9280_79xxx.png,2,"[7, 9, 10, 10, 10]"
2591,2591,data/train/image10680_52xxx.png,2,"[5, 2, 10, 10, 10]"
2592,2592,data/train/image12349_166xx.png,3,"[1, 6, 6, 10, 10]"
2593,2593,data/train/image26029_80xxx.png,2,"[8, 0, 10, 10, 10]"
2594,2594,data/train/image2939_89xxx.png,2,"[8, 9, 10, 10, 10]"
2595,2595,data/train/image10813_79xxx.png,2,"[7, 9, 10, 10, 10]"
2596,2596,data/train/image17239_42xxx.png,2,"[4, 2, 10, 10, 10]"
2597,2597,data/train/image6769_49xxx.png,2,"[4, 9, 10, 10, 10]"
2598,2598,data/train/image863_95xxx.png,2,"[9, 5, 10, 10, 10]"
2599,2599,data/train/image743_402xx.png,3,"[4, 0, 2, 10, 10]"
2600,2600,data/train/image22638_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2601,2601,data/train/image21303_625xx.png,3,"[6, 2, 5, 10, 10]"
2602,2602,data/train/image7609_168xx.png,3,"[1, 6, 8, 10, 10]"
2603,2603,data/train/image27000_19xxx.png,2,"[1, 9, 10, 10, 10]"
2604,2604,data/train/image4975_40xxx.png,2,"[4, 0, 10, 10, 10]"
2605,2605,data/train/image21350_72xxx.png,2,"[7, 2, 10, 10, 10]"
2606,2606,data/train/image19952_251xx.png,3,"[2, 5, 1, 10, 10]"
2607,2607,data/train/image21815_26xxx.png,2,"[2, 6, 10, 10, 10]"
2608,2608,data/train/image13587_37xxx.png,2,"[3, 7, 10, 10, 10]"
2609,2609,data/train/image19347_20xxx.png,2,"[2, 0, 10, 10, 10]"
2610,2610,data/train/image2590_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2611,2611,data/train/image20719_84xxx.png,2,"[8, 4, 10, 10, 10]"
2612,2612,data/train/image12897_17xxx.png,2,"[1, 7, 10, 10, 10]"
2613,2613,data/train/image25986_18xxx.png,2,"[1, 8, 10, 10, 10]"
2614,2614,data/train/image4964_61xxx.png,2,"[6, 1, 10, 10, 10]"
2615,2615,data/train/image15015_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2616,2616,data/train/image1135_1307x.png,4,"[1, 3, 0, 7, 10]"
2617,2617,data/train/image10771_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2618,2618,data/train/image304_24xxx.png,2,"[2, 4, 10, 10, 10]"
2619,2619,data/train/image26744_629xx.png,3,"[6, 2, 9, 10, 10]"
2620,2620,data/train/image20029_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2621,2621,data/train/image19278_175xx.png,3,"[1, 7, 5, 10, 10]"
2622,2622,data/train/image12144_32xxx.png,2,"[3, 2, 10, 10, 10]"
2623,2623,data/train/image6305_19xxx.png,2,"[1, 9, 10, 10, 10]"
2624,2624,data/train/image28448_35xxx.png,2,"[3, 5, 10, 10, 10]"
2625,2625,data/train/image7896_43xxx.png,2,"[4, 3, 10, 10, 10]"
2626,2626,data/train/image11633_118xx.png,3,"[1, 1, 8, 10, 10]"
2627,2627,data/train/image21974_61xxx.png,2,"[6, 1, 10, 10, 10]"
2628,2628,data/train/image1729_951xx.png,3,"[9, 5, 1, 10, 10]"
2629,2629,data/train/image14620_1174x.png,4,"[1, 1, 7, 4, 10]"
2630,2630,data/train/image17919_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2631,2631,data/train/image25119_6xxxx.png,1,"[6, 10, 10, 10, 10]"
2632,2632,data/train/image19133_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2633,2633,data/train/image8994_10xxx.png,2,"[1, 0, 10, 10, 10]"
2634,2634,data/train/image7384_365xx.png,3,"[3, 6, 5, 10, 10]"
2635,2635,data/train/image10097_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2636,2636,data/train/image3350_56xxx.png,2,"[5, 6, 10, 10, 10]"
2637,2637,data/train/image6666_41xxx.png,2,"[4, 1, 10, 10, 10]"
2638,2638,data/train/image10790_41xxx.png,2,"[4, 1, 10, 10, 10]"
2639,2639,data/train/image14274_149xx.png,3,"[1, 4, 9, 10, 10]"
2640,2640,data/train/image18212_41xxx.png,2,"[4, 1, 10, 10, 10]"
2641,2641,data/train/image20692_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2642,2642,data/train/image20429_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2643,2643,data/train/image18713_23xxx.png,2,"[2, 3, 10, 10, 10]"
2644,2644,data/train/image27146_297xx.png,3,"[2, 9, 7, 10, 10]"
2645,2645,data/train/image28854_105xx.png,3,"[1, 0, 5, 10, 10]"
2646,2646,data/train/image16280_49xxx.png,2,"[4, 9, 10, 10, 10]"
2647,2647,data/train/image22472_31xxx.png,2,"[3, 1, 10, 10, 10]"
2648,2648,data/train/image10521_157xx.png,3,"[1, 5, 7, 10, 10]"
2649,2649,data/train/image28146_37xxx.png,2,"[3, 7, 10, 10, 10]"
2650,2650,data/train/image1995_41xxx.png,2,"[4, 1, 10, 10, 10]"
2651,2651,data/train/image26552_20xxx.png,2,"[2, 0, 10, 10, 10]"
2652,2652,data/train/image4833_92xxx.png,2,"[9, 2, 10, 10, 10]"
2653,2653,data/train/image142_55xxx.png,2,"[5, 5, 10, 10, 10]"
2654,2654,data/train/image794_255xx.png,3,"[2, 5, 5, 10, 10]"
2655,2655,data/train/image27176_21xxx.png,2,"[2, 1, 10, 10, 10]"
2656,2656,data/train/image7424_198xx.png,3,"[1, 9, 8, 10, 10]"
2657,2657,data/train/image12874_14xxx.png,2,"[1, 4, 10, 10, 10]"
2658,2658,data/train/image11656_66xxx.png,2,"[6, 6, 10, 10, 10]"
2659,2659,data/train/image7963_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2660,2660,data/train/image12257_31xxx.png,2,"[3, 1, 10, 10, 10]"
2661,2661,data/train/image27059_168xx.png,3,"[1, 6, 8, 10, 10]"
2662,2662,data/train/image22123_32xxx.png,2,"[3, 2, 10, 10, 10]"
2663,2663,data/train/image26702_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2664,2664,data/train/image5676_20xxx.png,2,"[2, 0, 10, 10, 10]"
2665,2665,data/train/image1804_48xxx.png,2,"[4, 8, 10, 10, 10]"
2666,2666,data/train/image2645_70xxx.png,2,"[7, 0, 10, 10, 10]"
2667,2667,data/train/image2694_27xxx.png,2,"[2, 7, 10, 10, 10]"
2668,2668,data/train/image6437_23xxx.png,2,"[2, 3, 10, 10, 10]"
2669,2669,data/train/image14983_11xxx.png,2,"[1, 1, 10, 10, 10]"
2670,2670,data/train/image21534_44xxx.png,2,"[4, 4, 10, 10, 10]"
2671,2671,data/train/image19563_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2672,2672,data/train/image16538_930xx.png,3,"[9, 3, 0, 10, 10]"
2673,2673,data/train/image1111_98xxx.png,2,"[9, 8, 10, 10, 10]"
2674,2674,data/train/image7066_65xxx.png,2,"[6, 5, 10, 10, 10]"
2675,2675,data/train/image21448_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2676,2676,data/train/image11403_22xxx.png,2,"[2, 2, 10, 10, 10]"
2677,2677,data/train/image11642_42xxx.png,2,"[4, 2, 10, 10, 10]"
2678,2678,data/train/image15925_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2679,2679,data/train/image1347_46xxx.png,2,"[4, 6, 10, 10, 10]"
2680,2680,data/train/image9951_50xxx.png,2,"[5, 0, 10, 10, 10]"
2681,2681,data/train/image7018_162xx.png,3,"[1, 6, 2, 10, 10]"
2682,2682,data/train/image24758_197xx.png,3,"[1, 9, 7, 10, 10]"
2683,2683,data/train/image15934_514xx.png,3,"[5, 1, 4, 10, 10]"
2684,2684,data/train/image11342_280xx.png,3,"[2, 8, 0, 10, 10]"
2685,2685,data/train/image3049_765xx.png,3,"[7, 6, 5, 10, 10]"
2686,2686,data/train/image6318_110xx.png,3,"[1, 1, 0, 10, 10]"
2687,2687,data/train/image24696_16xxx.png,2,"[1, 6, 10, 10, 10]"
2688,2688,data/train/image15317_12xxx.png,2,"[1, 2, 10, 10, 10]"
2689,2689,data/train/image18193_45xxx.png,2,"[4, 5, 10, 10, 10]"
2690,2690,data/train/image22657_175xx.png,3,"[1, 7, 5, 10, 10]"
2691,2691,data/train/image17179_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2692,2692,data/train/image7012_73xxx.png,2,"[7, 3, 10, 10, 10]"
2693,2693,data/train/image19439_65xxx.png,2,"[6, 5, 10, 10, 10]"
2694,2694,data/train/image8016_1383x.png,4,"[1, 3, 8, 3, 10]"
2695,2695,data/train/image15421_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2696,2696,data/train/image10294_244xx.png,3,"[2, 4, 4, 10, 10]"
2697,2697,data/train/image18179_46xxx.png,2,"[4, 6, 10, 10, 10]"
2698,2698,data/train/image2156_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2699,2699,data/train/image25946_18xxx.png,2,"[1, 8, 10, 10, 10]"
2700,2700,data/train/image28903_215xx.png,3,"[2, 1, 5, 10, 10]"
2701,2701,data/train/image9191_36xxx.png,2,"[3, 6, 10, 10, 10]"
2702,2702,data/train/image21406_2591x.png,4,"[2, 5, 9, 1, 10]"
2703,2703,data/train/image17761_78xxx.png,2,"[7, 8, 10, 10, 10]"
2704,2704,data/train/image3893_124xx.png,3,"[1, 2, 4, 10, 10]"
2705,2705,data/train/image11671_67xxx.png,2,"[6, 7, 10, 10, 10]"
2706,2706,data/train/image8261_841xx.png,3,"[8, 4, 1, 10, 10]"
2707,2707,data/train/image11116_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2708,2708,data/train/image14820_65xxx.png,2,"[6, 5, 10, 10, 10]"
2709,2709,data/train/image1529_11xxx.png,2,"[1, 1, 10, 10, 10]"
2710,2710,data/train/image18277_14xxx.png,2,"[1, 4, 10, 10, 10]"
2711,2711,data/train/image28687_21xxx.png,2,"[2, 1, 10, 10, 10]"
2712,2712,data/train/image28203_17xxx.png,2,"[1, 7, 10, 10, 10]"
2713,2713,data/train/image25450_177xx.png,3,"[1, 7, 7, 10, 10]"
2714,2714,data/train/image5734_6xxxx.png,1,"[6, 10, 10, 10, 10]"
2715,2715,data/train/image9658_68xxx.png,2,"[6, 8, 10, 10, 10]"
2716,2716,data/train/image2594_33xxx.png,2,"[3, 3, 10, 10, 10]"
2717,2717,data/train/image19351_92xxx.png,2,"[9, 2, 10, 10, 10]"
2718,2718,data/train/image26797_25xxx.png,2,"[2, 5, 10, 10, 10]"
2719,2719,data/train/image16952_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2720,2720,data/train/image5382_30xxx.png,2,"[3, 0, 10, 10, 10]"
2721,2721,data/train/image22114_67xxx.png,2,"[6, 7, 10, 10, 10]"
2722,2722,data/train/image18012_28xxx.png,2,"[2, 8, 10, 10, 10]"
2723,2723,data/train/image8512_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2724,2724,data/train/image20683_165xx.png,3,"[1, 6, 5, 10, 10]"
2725,2725,data/train/image27493_74xxx.png,2,"[7, 4, 10, 10, 10]"
2726,2726,data/train/image11078_552xx.png,3,"[5, 5, 2, 10, 10]"
2727,2727,data/train/image5714_15xxx.png,2,"[1, 5, 10, 10, 10]"
2728,2728,data/train/image20930_27xxx.png,2,"[2, 7, 10, 10, 10]"
2729,2729,data/train/image18788_26xxx.png,2,"[2, 6, 10, 10, 10]"
2730,2730,data/train/image24078_112xx.png,3,"[1, 1, 2, 10, 10]"
2731,2731,data/train/image18998_35xxx.png,2,"[3, 5, 10, 10, 10]"
2732,2732,data/train/image6293_22xxx.png,2,"[2, 2, 10, 10, 10]"
2733,2733,data/train/image2873_21xxx.png,2,"[2, 1, 10, 10, 10]"
2734,2734,data/train/image15782_8xxxx.png,1,"[8, 10, 10, 10, 10]"
2735,2735,data/train/image13659_23xxx.png,2,"[2, 3, 10, 10, 10]"
2736,2736,data/train/image17349_146xx.png,3,"[1, 4, 6, 10, 10]"
2737,2737,data/train/image17778_127xx.png,3,"[1, 2, 7, 10, 10]"
2738,2738,data/train/image29328_35xxx.png,2,"[3, 5, 10, 10, 10]"
2739,2739,data/train/image11772_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2740,2740,data/train/image20706_42xxx.png,2,"[4, 2, 10, 10, 10]"
2741,2741,data/train/image8840_134xx.png,3,"[1, 3, 4, 10, 10]"
2742,2742,data/train/image24841_10xxx.png,2,"[1, 0, 10, 10, 10]"
2743,2743,data/train/image675_44xxx.png,2,"[4, 4, 10, 10, 10]"
2744,2744,data/train/image10385_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2745,2745,data/train/image25063_32xxx.png,2,"[3, 2, 10, 10, 10]"
2746,2746,data/train/image27126_185xx.png,3,"[1, 8, 5, 10, 10]"
2747,2747,data/train/image17681_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2748,2748,data/train/image8313_1570x.png,4,"[1, 5, 7, 0, 10]"
2749,2749,data/train/image21205_116xx.png,3,"[1, 1, 6, 10, 10]"
2750,2750,data/train/image24182_51xxx.png,2,"[5, 1, 10, 10, 10]"
2751,2751,data/train/image9903_170xx.png,3,"[1, 7, 0, 10, 10]"
2752,2752,data/train/image17088_89xxx.png,2,"[8, 9, 10, 10, 10]"
2753,2753,data/train/image22217_14xxx.png,2,"[1, 4, 10, 10, 10]"
2754,2754,data/train/image25495_0xxxx.png,1,"[0, 10, 10, 10, 10]"
2755,2755,data/train/image28489_34xxx.png,2,"[3, 4, 10, 10, 10]"
2756,2756,data/train/image3470_21xxx.png,2,"[2, 1, 10, 10, 10]"
2757,2757,data/train/image17758_384xx.png,3,"[3, 8, 4, 10, 10]"
2758,2758,data/train/image26547_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2759,2759,data/train/image12894_84xxx.png,2,"[8, 4, 10, 10, 10]"
2760,2760,data/train/image265_973xx.png,3,"[9, 7, 3, 10, 10]"
2761,2761,data/train/image18518_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2762,2762,data/train/image605_121xx.png,3,"[1, 2, 1, 10, 10]"
2763,2763,data/train/image14742_22xxx.png,2,"[2, 2, 10, 10, 10]"
2764,2764,data/train/image4905_850xx.png,3,"[8, 5, 0, 10, 10]"
2765,2765,data/train/image13430_133xx.png,3,"[1, 3, 3, 10, 10]"
2766,2766,data/train/image3692_5xxxx.png,1,"[5, 10, 10, 10, 10]"
2767,2767,data/train/image13892_13xxx.png,2,"[1, 3, 10, 10, 10]"
2768,2768,data/train/image7249_19xxx.png,2,"[1, 9, 10, 10, 10]"
2769,2769,data/train/image26284_69xxx.png,2,"[6, 9, 10, 10, 10]"
2770,2770,data/train/image28581_65xxx.png,2,"[6, 5, 10, 10, 10]"
2771,2771,data/train/image9667_18xxx.png,2,"[1, 8, 10, 10, 10]"
2772,2772,data/train/image21881_42xxx.png,2,"[4, 2, 10, 10, 10]"
2773,2773,data/train/image19681_165xx.png,3,"[1, 6, 5, 10, 10]"
2774,2774,data/train/image29102_172xx.png,3,"[1, 7, 2, 10, 10]"
2775,2775,data/train/image2363_7xxxx.png,1,"[7, 10, 10, 10, 10]"
2776,2776,data/train/image2159_25xxx.png,2,"[2, 5, 10, 10, 10]"
2777,2777,data/train/image1567_9xxxx.png,1,"[9, 10, 10, 10, 10]"
2778,2778,data/train/image10335_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2779,2779,data/train/image7056_38xxx.png,2,"[3, 8, 10, 10, 10]"
2780,2780,data/train/image16991_410xx.png,3,"[4, 1, 0, 10, 10]"
2781,2781,data/train/image14490_8xxxx.png,1,"[8, 10, 10, 10, 10]"
2782,2782,data/train/image12783_16xxx.png,2,"[1, 6, 10, 10, 10]"
2783,2783,data/train/image9312_112xx.png,3,"[1, 1, 2, 10, 10]"
2784,2784,data/train/image21740_66xxx.png,2,"[6, 6, 10, 10, 10]"
2785,2785,data/train/image5426_17xxx.png,2,"[1, 7, 10, 10, 10]"
2786,2786,data/train/image1988_65xxx.png,2,"[6, 5, 10, 10, 10]"
2787,2787,data/train/image25608_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2788,2788,data/train/image24471_660xx.png,3,"[6, 6, 0, 10, 10]"
2789,2789,data/train/image27192_25xxx.png,2,"[2, 5, 10, 10, 10]"
2790,2790,data/train/image3124_164xx.png,3,"[1, 6, 4, 10, 10]"
2791,2791,data/train/image9957_13xxx.png,2,"[1, 3, 10, 10, 10]"
2792,2792,data/train/image27774_158xx.png,3,"[1, 5, 8, 10, 10]"
2793,2793,data/train/image13320_49xxx.png,2,"[4, 9, 10, 10, 10]"
2794,2794,data/train/image24703_314xx.png,3,"[3, 1, 4, 10, 10]"
2795,2795,data/train/image6859_26xxx.png,2,"[2, 6, 10, 10, 10]"
2796,2796,data/train/image27249_225xx.png,3,"[2, 2, 5, 10, 10]"
2797,2797,data/train/image1824_24xxx.png,2,"[2, 4, 10, 10, 10]"
2798,2798,data/train/image26964_26xxx.png,2,"[2, 6, 10, 10, 10]"
2799,2799,data/train/image13671_37xxx.png,2,"[3, 7, 10, 10, 10]"
2800,2800,data/train/image13130_4xxxx.png,1,"[4, 10, 10, 10, 10]"
2801,2801,data/train/image279_40xxx.png,2,"[4, 0, 10, 10, 10]"
2802,2802,data/train/image18244_38xxx.png,2,"[3, 8, 10, 10, 10]"
2803,2803,data/train/image20081_18xxx.png,2,"[1, 8, 10, 10, 10]"
2804,2804,data/train/image12408_291xx.png,3,"[2, 9, 1, 10, 10]"
2805,2805,data/train/image4230_27xxx.png,2,"[2, 7, 10, 10, 10]"
2806,2806,data/train/image2148_867xx.png,3,"[8, 6, 7, 10, 10]"
2807,2807,data/train/image21689_68xxx.png,2,"[6, 8, 10, 10, 10]"
2808,2808,data/train/image3954_69xxx.png,2,"[6, 9, 10, 10, 10]"
2809,2809,data/train/image3790_437xx.png,3,"[4, 3, 7, 10, 10]"
2810,2810,data/train/image554_60xxx.png,2,"[6, 0, 10, 10, 10]"
2811,2811,data/train/image25576_25xxx.png,2,"[2, 5, 10, 10, 10]"
2812,2812,data/train/image14775_254xx.png,3,"[2, 5, 4, 10, 10]"
2813,2813,data/train/image16191_22xxx.png,2,"[2, 2, 10, 10, 10]"
2814,2814,data/train/image15346_3xxxx.png,1,"[3, 10, 10, 10, 10]"
2815,2815,data/train/image28167_28xxx.png,2,"[2, 8, 10, 10, 10]"
2816,2816,data/train/image1655_16xxx.png,2,"[1, 6, 10, 10, 10]"
2817,2817,data/train/image1718_514xx.png,3,"[5, 1, 4, 10, 10]"
2818,2818,data/train/image14059_240xx.png,3,"[2, 4, 0, 10, 10]"
2819,2819,data/train/image2431_35xxx.png,2,"[3, 5, 10, 10, 10]"
2820,2820,data/train/image17631_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2821,2821,data/train/image21146_198xx.png,3,"[1, 9, 8, 10, 10]"
2822,2822,data/train/image23572_17xxx.png,2,"[1, 7, 10, 10, 10]"
2823,2823,data/train/image702_112xx.png,3,"[1, 1, 2, 10, 10]"
2824,2824,data/train/image12901_48xxx.png,2,"[4, 8, 10, 10, 10]"
2825,2825,data/train/image26255_185xx.png,3,"[1, 8, 5, 10, 10]"
2826,2826,data/train/image28989_77xxx.png,2,"[7, 7, 10, 10, 10]"
2827,2827,data/train/image17886_226xx.png,3,"[2, 2, 6, 10, 10]"
2828,2828,data/train/image15049_91xxx.png,2,"[9, 1, 10, 10, 10]"
2829,2829,data/train/image11239_11xxx.png,2,"[1, 1, 10, 10, 10]"
2830,2830,data/train/image454_128xx.png,3,"[1, 2, 8, 10, 10]"
2831,2831,data/train/image17547_44xxx.png,2,"[4, 4, 10, 10, 10]"
2832,2832,data/train/image6766_21xxx.png,2,"[2, 1, 10, 10, 10]"
2833,2833,data/train/image5580_111xx.png,3,"[1, 1, 1, 10, 10]"
2834,2834,data/train/image3284_9xxxx.png,1,"[9, 10, 10, 10, 10]"
2835,2835,data/train/image8571_633xx.png,3,"[6, 3, 3, 10, 10]"
2836,2836,data/train/image6020_31xxx.png,2,"[3, 1, 10, 10, 10]"
2837,2837,data/train/image13597_121xx.png,3,"[1, 2, 1, 10, 10]"
2838,2838,data/train/image13609_49xxx.png,2,"[4, 9, 10, 10, 10]"
2839,2839,data/train/image21853_266xx.png,3,"[2, 6, 6, 10, 10]"
2840,2840,data/train/image14675_56xxx.png,2,"[5, 6, 10, 10, 10]"
2841,2841,data/train/image17434_14xxx.png,2,"[1, 4, 10, 10, 10]"
2842,2842,data/train/image3890_254xx.png,3,"[2, 5, 4, 10, 10]"
2843,2843,data/train/image6219_485xx.png,3,"[4, 8, 5, 10, 10]"
2844,2844,data/train/image21738_134xx.png,3,"[1, 3, 4, 10, 10]"
2845,2845,data/train/image4620_127xx.png,3,"[1, 2, 7, 10, 10]"
2846,2846,data/train/image25881_2xxxx.png,1,"[2, 10, 10, 10, 10]"
2847,2847,data/train/image1293_245xx.png,3,"[2, 4, 5, 10, 10]"
2848,2848,data/train/image14952_121xx.png,3,"[1, 2, 1, 10, 10]"
2849,2849,data/train/image6014_108xx.png,3,"[1, 0, 8, 10, 10]"
2850,2850,data/train/image8960_174xx.png,3,"[1, 7, 4, 10, 10]"
2851,2851,data/train/image23319_246xx.png,3,"[2, 4, 6, 10, 10]"
2852,2852,data/train/image13697_300xx.png,3,"[3, 0, 0, 10, 10]"
2853,2853,data/train/image14937_2274x.png,4,"[2, 2, 7, 4, 10]"
2854,2854,data/train/image16925_1xxxx.png,1,"[1, 10, 10, 10, 10]"
2855,2855,data/train/image1381_50xxx.png,2,"[5, 0, 10, 10, 10]"
2856,2856,data/train/image27883_99xxx.png,2,"[9, 9, 10, 10, 10]"
2857,2857,data/train/image27566_20xxx.png,2,"[2, 0, 10, 10, 10]"
2858,2858,data/train/image11883_93xxx.png,2,"[9, 3, 10, 10, 10]"
2859,2859,data/train/image16029_579xx.png,3,"[5, 7, 9, 10, 10]"
2860,2860,data/train/image3298_483xx.png,3,"[4, 8, 3, 10, 10]"
2861,2861,data/train/image23339_9xxxx.png,1,"[9, 10, 10, 10, 10]"
2862,2862,data/train/image27155_161xx.png,3,"[1, 6, 1, 10, 10]"
2863,2863,data/train/image15026_27xxx.png,2,"[2, 7, 10, 10, 10]"
2864,2864,data/train/image2692_600xx.png,3,"[6, 0, 0, 10, 10]"
2865,2865,data/train/image11693_19xxx.png,2,"[1, 9, 10, 10, 10]"
2866,2866,data/train/image20378_82xxx.png,2,"[8, 2, 10, 10, 10]"
2867,2867,data/train/image2527_255xx.png,3,"[2, 5, 5, 10, 10]"
